DJIA	FTSE100	USDGBP	CAC40	EURUSD	Nikkei	YENUSD
13473.9	6559.8	2.0456	5743.32	0.6812	15932.26	112.24
13517.96	6364.2	2.0377	5590.91	0.6847	15536.52	112.14
13339.85	6397	2.0196	5605.36	0.6927	15514.51	113.36
13167.2	6277.8	2.0151	5514.88	0.6956	15249.79	113.24
13232.47	6279.3	2.018	5509.37	0.6943	15207.86	113.21
13207.27	6284.5	2.0034	5497.42	0.695	15030.51	113.37
13245.64	6345.6	1.9813	5511.45	0.6972	15031.6	112.91
13450.65	6434.1	1.9841	5602.77	0.6958	15257	113.92
13359.61	6497.8	1.9882	5627.48	0.6864	15564.69	114.16
13365.87	6476.9	1.9929	5627.25	0.6801	15307.78	113.13
12800.18	6348.5	1.9744	5446.79	0.6768	14691.41	108.23
12827.49	6335.7	1.9755	5452.83	0.6794	14500.55	108.69
12589.07	6356.5	1.9735	5495.67	0.6796	14528.67	109.71
12735.31	6272.7	1.9583	5435.42	0.6817	14599.16	109.54
12853.09	6222.7	1.9575	5400.43	0.6786	14388.11	109.48
12606.3	6202	1.9583	5371.41	0.676	14110.79	109.02
12501.11	6025.6	1.9714	5250.82	0.6732	13972.63	106.82
12466.16	5942.9	1.9649	5225.39	0.681	13504.51	106.84
12159.21	5902.4	1.9769	5157.09	0.6808	13783.45	107.13
12099.3	5901.7	1.9538	5092.4	0.6837	13861.29	107.07
11971.19	5740.1	1.9608	4842.54	0.6842	12573.05	106.82
12270.17	5609.3	1.9495	4636.76	0.687	12829.06	105.73
12378.61	5875.8	1.9716	4915.29	0.6798	13092.78	106.67
12207.17	5869	1.9832	4878.12	0.6804	13629.16	107.3
12383.89	5788.9	1.9874	4848.3	0.6759	13087.91	106.79
12480.3	5885.2	1.9874	4941.45	0.6772	13478.86	106.92
12442.83	5837.3	1.9885	4873.57	0.6763	13345.03	107.35
12650.36	5879.8	1.9882	4869.79	0.6754	13592.47	106.32
12743.19	6029.2	1.9686	4978.06	0.6746	13497.16	106.25
12635.16	6026.2	1.9757	4973.64	0.6749	13859.7	106.78
12265.13	5868	1.9646	4776.86	0.6829	13745.5	106.92
12200.1	5875.4	1.9602	4816.43	0.6822	13099.24	106.74
12247	5724.1	1.9416	4723.8	0.6895	13207.15	106.62
12182.13	5784	1.9464	4709.65	0.6898	13017.24	107.45
12373.41	5910	1.9604	4840.71	0.6853	13021.96	107.43
12552.24	5880.1	1.9627	4855.4	0.6866	13068.3	108.24
12376.98	5879.3	1.9718	4858.65	0.6839	13626.45	108.17
12348.21	5787.6	1.9628	4771.79	0.6807	13622.56	107.62
12337.22	5966.9	1.9513	4885.83	0.6782	13757.91	107.54
12427.26	5893.6	1.9406	4812.81	0.6827	13310.37	108.03
12284.3	5932.2	1.96	4858.85	0.6761	13688.28	107.51
12381.02	5888.5	1.9668	4824.55	0.675	13500.46	106.96
12570.22	5999.5	1.9679	4919.26	0.6743	13914.57	108.09
12684.92	6087.4	1.9722	4973.07	0.672	13824.72	107.65
12694.28	6076.5	1.9885	4968.82	0.6624	14031.3	106.52
12582.18	5965.7	1.9896	4865.23	0.6588	13925.51	105.77
12266.39	5884.3	1.9892	4790.66	0.6588	13603.02	104.1
12258.9	5818.6	1.9825	4742.66	0.6579	12992.18	103.39
12213.8	5767.7	1.9861	4675.91	0.6564	12992.28	102.79
12254.99	5853.5	1.9897	4756.42	0.6549	12972.06	103.96
12040.39	5766.4	2.0094	4678.05	0.6511	13215.42	103.09
11893.69	5699.9	2.0141	4618.96	0.6512	12782.8	102.98
11740.15	5629.1	2.0166	4566.99	0.6506	12532.13	101.82
12156.81	5690.4	2.0037	4627.69	0.6524	12658.28	102.88
12110.24	5776.4	2.021	4697.1	0.6454	12861.13	102.4
12145.74	5692.4	2.031	4630.19	0.6417	12433.44	100.59
